contrast	name	fdr_threshold	dge_database	dge_db_table	dge_plot_database	dge_plot_db_table	dge_plot_rows	dge_full_rows
CD_Colon_vs_UC_Transverse	CD Colon vs UC Transverse	0.000389578827955697	host/db/dge/CD_Colon_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_No_vs_Healthy_Ileum_No	CD Ileum No vs Healthy Ileum No	0.00748050913441623	host/db/dge/CD_Ileum_No_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_No_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_No_vs_UC_Ileum_No	CD Ileum No vs UC Ileum No	0.017042279349162	host/db/dge/CD_Ileum_No_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_No_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Cecum	CD Ileum vs CD Cecum	6.41132533661658e-07	host/db/dge/CD_Ileum_vs_CD_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Colon	CD Ileum vs CD Colon	4.29430891346908e-20	host/db/dge/CD_Ileum_vs_CD_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Ileum_No	CD Ileum vs CD Ileum No	8.17753189452702e-39	host/db/dge/CD_Ileum_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4990	68391
CD_Ileum_vs_CD_Rectum	CD Ileum vs CD Rectum	3.34989954530019e-21	host/db/dge/CD_Ileum_vs_CD_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Rectum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Transverse	CD Ileum vs CD Transverse	7.04509824742816e-05	host/db/dge/CD_Ileum_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_Healthy_Cecum	CD Ileum vs Healthy Cecum	1.75501618646486e-06	host/db/dge/CD_Ileum_vs_Healthy_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_Healthy_Colon	CD Ileum vs Healthy Colon	5.00411883207942e-25	host/db/dge/CD_Ileum_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_Healthy_Ileum_No	CD Ileum vs Healthy Ileum No	3.0331268074049e-14	host/db/dge/CD_Ileum_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
CD_Ileum_vs_Healthy_Ileum	CD Ileum vs Healthy Ileum	0.0035096747899646	host/db/dge/CD_Ileum_vs_Healthy_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_Healthy_Rectum	CD Ileum vs Healthy Rectum	3.76596841072976e-24	host/db/dge/CD_Ileum_vs_Healthy_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Rectum.sqlite.gz	host_dge_plot	4997	68391
CD_Ileum_vs_Healthy_Sigmoid	CD Ileum vs Healthy Sigmoid	0.1	host/db/dge/CD_Ileum_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	4412	68391
CD_Ileum_vs_UC_Cecum	CD Ileum vs UC Cecum	5.04073521975876e-06	host/db/dge/CD_Ileum_vs_UC_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Cecum.sqlite.gz	host_dge_plot	4998	68391
CD_Ileum_vs_UC_Colon	CD Ileum vs UC Colon	4.30379323032484e-16	host/db/dge/CD_Ileum_vs_UC_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_UC_Ileum_No	CD Ileum vs UC Ileum No	9.97121033931577e-19	host/db/dge/CD_Ileum_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4997	68391
CD_Ileum_vs_UC_Ileum	CD Ileum vs UC Ileum	0.0308965505701462	host/db/dge/CD_Ileum_vs_UC_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Ileum.sqlite.gz	host_dge_plot	4998	68391
CD_Ileum_vs_UC_Rectum	CD Ileum vs UC Rectum	1.15765968420716e-17	host/db/dge/CD_Ileum_vs_UC_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Rectum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_UC_Sigmoid	CD Ileum vs UC Sigmoid	1.81239837388268e-07	host/db/dge/CD_Ileum_vs_UC_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Sigmoid.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_UC_Transverse	CD Ileum vs UC Transverse	1.11384323727606e-05	host/db/dge/CD_Ileum_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_UC_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_CD_Cecum	CD Rectum vs CD Cecum	0.060764907102147	host/db/dge/CD_Rectum_vs_CD_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_CD_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_CD_Colon	CD Rectum vs CD Colon	7.02619985965096e-12	host/db/dge/CD_Rectum_vs_CD_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_CD_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_CD_Ileum_No	CD Rectum vs CD Ileum No	1.47725493904658e-44	host/db/dge/CD_Rectum_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4992	68391
CD_Rectum_vs_CD_Transverse	CD Rectum vs CD Transverse	0.0864779928050142	host/db/dge/CD_Rectum_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_CD_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_Healthy_Cecum	CD Rectum vs Healthy Cecum	0.00138616106006282	host/db/dge/CD_Rectum_vs_Healthy_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_Healthy_Colon	CD Rectum vs Healthy Colon	7.08753292052563e-24	host/db/dge/CD_Rectum_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_Healthy_Ileum_No	CD Rectum vs Healthy Ileum No	2.76609202164325e-19	host/db/dge/CD_Rectum_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
CD_Rectum_vs_Healthy_Ileum	CD Rectum vs Healthy Ileum	2.14101860287178e-14	host/db/dge/CD_Rectum_vs_Healthy_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Rectum_vs_Healthy_Rectum	CD Rectum vs Healthy Rectum	0.00199534912375299	host/db/dge/CD_Rectum_vs_Healthy_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Rectum.sqlite.gz	host_dge_plot	4998	68391
CD_Rectum_vs_Healthy_Sigmoid	CD Rectum vs Healthy Sigmoid	0.1	host/db/dge/CD_Rectum_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	3668	68391
CD_Rectum_vs_UC_Cecum	CD Rectum vs UC Cecum	0.00108534971189415	host/db/dge/CD_Rectum_vs_UC_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Rectum_vs_UC_Cecum.sqlite.gz	host_dge_plot	4999	68391
